%time,field.header.seq,field.header.stamp,field.header.frame_id,field.waypoint,field.q0,field.q1,field.q2,field.q3,field.q4,field.q5,field.acc,field.vel,field.totaltime,field.round
1454587895608817785,96,1454587895608565437,,96,2.23371288559,-1.55730326116,0.0129980131709,-2.41087903313,-1.56833715235,0.461271020274,3.0,0.75,0.008,0.0
1454587895616858590,97,1454587895616603837,,97,2.23376473649,-1.55691246527,0.0129415802956,-2.4102467928,-1.56836211521,0.461240487567,3.0,0.75,0.008,0.0
1454587895624915117,98,1454587895624720717,,98,2.23383240585,-1.55639798078,0.0128557867543,-2.40938706076,-1.5683947835,0.461201052814,3.0,0.75,0.008,0.0
1454587895632980720,99,1454587895632763183,,99,2.23389835933,-1.55589144021,0.012758587324,-2.4085087298,-1.56842675837,0.46116309852,3.0,0.75,0.008,0.0
1454587895641142190,100,1454587895640878957,,100,2.23396255336,-1.55539329607,0.0126506734404,-2.40761237942,-1.56845805105,0.461126648069,3.0,0.75,0.008,0.0
1454587895649182449,101,1454587895648938200,,101,2.23402494612,-1.55490398575,0.0125327165589,-2.40669858103,-1.568488673,0.461091723358,3.0,0.75,0.008,0.0
1454587895657194958,102,1454587895657021237,,102,2.23408549749,-1.5544239315,0.0124053681151,-2.40576789804,-1.56851863596,0.461058344806,3.0,0.75,0.008,0.0
1454587895665216763,103,1454587895665049082,,103,2.23414416914,-1.55395354033,0.0122692595273,-2.40482088592,-1.56854795188,0.461026531369,3.0,0.75,0.008,0.0
1454587895673242507,104,1454587895673068297,,104,2.23420092445,-1.55349320397,0.0121250022378,-2.40385809227,-1.56857663295,0.460996300547,3.0,0.75,0.008,0.0
1454587895681257266,105,1454587895681089398,,105,2.23425572856,-1.55304329887,0.0119731877919,-2.40288005697,-1.56860469156,0.460967668403,3.0,0.75,0.008,0.0
1454587895689338947,106,1454587895689168259,,106,2.23430854835,-1.55260418621,0.0118143879501,-2.40188731226,-1.56863214031,0.46094064957,3.0,0.75,0.008,0.0
1454587895697373545,107,1454587895697208248,,107,2.23434684205,-1.55228214289,0.011691036771,-2.40113341663,-1.56865233432,0.460921452189,3.0,0.75,0.008,0.0
1454587895705476965,108,1454587895705281268,,108,2.23439611487,-1.55186274009,0.0115213293072,-2.40011618879,-1.56867874663,0.460897287634,3.0,0.75,0.008,0.0
1454587895713483498,109,1454587895713298581,,109,2.23444332132,-1.55145504424,0.0113461080551,-2.39908567717,-1.5687045846,0.460874769411,3.0,0.75,0.008,0.0
1454587895721707035,110,1454587895721462094,,110,2.23448843482,-1.55105935939,0.0111658720993,-2.39804238685,-1.56872986142,0.46085390695,3.0,0.75,0.008,0.0
1454587895729815191,111,1454587895729497402,,111,2.23453143054,-1.55067597448,0.0109811016681,-2.39698681606,-1.56875459042,0.460834708332,3.0,0.75,0.008,0.0
1454587895737887279,112,1454587895737628081,,112,2.23457228537,-1.55030516344,0.0107922583986,-2.39591945643,-1.56877878503,0.460817180311,3.0,0.75,0.008,0.0
1454587895745863070,113,1454587895745623567,,113,2.23461097793,-1.54994718522,0.0105997856205,-2.39484079314,-1.56880245878,0.460801328332,3.0,0.75,0.008,0.0
1454587895754039043,114,1454587895753803910,,114,2.23464748853,-1.54960228397,0.0104041086571,-2.39375130515,-1.5688256253,0.460787156549,3.0,0.75,0.008,0.0
